	chr	start	end	count_unique	count_total	non_unique	result	oddsratio	pvalue	qValue
1:13030000:13040000	1	13030000	13040000	31	33	2	(1940.4781983708672, 4.021396207522023e-63)	1940.4781983708672	4.021396207522023e-63	2.620073675740849e-60
1:13050000:13060000	1	13050000	13060000	20	20	0	(inf, 9.727893011733585e-43)	inf	9.727893011733585e-43	3.728262682496954e-40
1:13180000:13190000	1	13180000	13190000	10	46	36	(34.775594952882926, 3.0844894733299603e-12)	34.775594952882926	3.0844894733299603e-12	5.311844162617393e-10
1:13440000:13450000	1	13440000	13450000	31	31	0	(inf, 7.734941840226402e-66)	inf	7.734941840226402e-66	5.399541900323758e-63
1:13470000:13480000	1	13470000	13480000	31	31	0	(inf, 7.734941840226402e-66)	inf	7.734941840226402e-66	5.399541900323758e-63
1:13660000:13670000	1	13660000	13670000	9	28	19	(59.30154086702141, 7.460565646884698e-13)	59.30154086702141	7.460565646884698e-13	1.3378368452661312e-10
1:13690000:13700000	1	13690000	13700000	20	20	0	(inf, 9.727893011733585e-43)	inf	9.727893011733585e-43	3.728262682496954e-40
1:13710000:13720000	1	13710000	13720000	20	47	27	(92.73491987435447, 7.737305677367811e-30)	92.73491987435447	7.737305677367811e-30	2.071690092737414e-27
1:16890000:16900000	1	16890000	16900000	19	19	0	(inf, 1.2252539421455256e-40)	inf	1.2252539421455256e-40	4.2765738487815073e-38
1:16900000:16910000	1	16900000	16910000	7	63	56	(15.649017728797316, 7.379865397614846e-07)	15.649017728797316	7.379865397614846e-07	9.982480903929396e-05
1:16910000:16920000	1	16910000	16920000	16	83	67	(29.896630884866514, 7.667306250694644e-18)	29.896630884866514	7.667306250694644e-18	1.5292364079191583e-15
1:112020000:112030000	1	112020000	112030000	6	43	37	(20.30142840492625, 1.1761068009714152e-06)	20.30142840492625	1.1761068009714152e-06	0.00015745331186155673
1:120840000:120850000	1	120840000	120850000	18	18	0	(inf, 1.5433863093733372e-38)	inf	1.5433863093733372e-38	5.070088874455672e-36
1:120920000:120930000	1	120920000	120930000	16	16	0	(inf, 2.4496010865157274e-34)	inf	2.4496010865157274e-34	7.366138898005601e-32
1:120930000:120940000	1	120930000	120940000	40	40	0	(inf, 9.829255585240263e-85)	inf	9.829255585240263e-85	9.852442547133649e-82
1:143760000:143770000	1	143760000	143770000	25	26	1	(3129.8035457594633, 7.929457364706642e-52)	3129.8035457594633	7.929457364706642e-52	3.562969509208184e-49
1:143910000:143920000	1	143910000	143920000	21	21	0	(inf, 7.724185051824004e-45)	inf	7.724185051824004e-45	3.1129262066588034e-42
1:144610000:144620000	1	144610000	144620000	38	38	0	(inf, 1.5535656524859104e-80)	inf	1.5535656524859104e-80	1.4123718252785863e-77
1:144810000:144820000	1	144810000	144820000	36	46	10	(450.69171058936274, 9.264926582288167e-67)	450.69171058936274	9.264926582288167e-67	6.965086729900173e-64
1:144820000:144830000	1	144820000	144830000	73	99	26	(351.50101360067816, 2.294697195480293e-130)	351.50101360067816	2.294697195480293e-130	4.485215138285781e-127
1:144850000:144860000	1	144850000	144860000	59	79	20	(369.3168183996167, 2.932173531259808e-106)	369.3168183996167	2.932173531259808e-106	4.245352877185497e-103
1:144860000:144870000	1	144860000	144870000	42	56	14	(375.5764254911356, 3.237590683841443e-76)	375.5764254911356	3.237590683841443e-76	2.5829366329128507e-73
1:144870000:144880000	1	144870000	144880000	48	61	13	(462.24790829678227, 9.376538299117383e-89)	462.24790829678227	9.376538299117383e-89	1.0181878755252687e-85
1:144880000:144890000	1	144880000	144890000	27	37	10	(338.018782942022, 6.2562065279767514e-49)	338.018782942022	6.2562065279767514e-49	2.717418062129635e-46
1:144900000:144910000	1	144900000	144910000	6	26	20	(37.55764254911356, 4.985146254073996e-08)	37.55764254911356	4.985146254073996e-08	7.217753235713357e-06
1:144910000:144920000	1	144910000	144920000	35	51	16	(273.85781025395306, 1.9575833788599206e-61)	273.85781025395306	1.9575833788599206e-61	1.1957163975998752e-58
1:144920000:144930000	1	144920000	144930000	29	31	2	(1815.2860565404887, 5.607397614295895e-59)	1815.2860565404887	5.607397614295895e-59	3.176875181710944e-56
1:144930000:144940000	1	144930000	144940000	21	30	9	(292.11499760421657, 1.0319702480086705e-37)	292.11499760421657	1.0319702480086705e-37	3.3340314822442104e-35
1:144950000:144960000	1	144950000	144960000	11	20	9	(153.01261779268486, 1.2247616331799657e-18)	153.01261779268486	1.2247616331799657e-18	2.455301628936986e-16
1:145290000:145300000	1	145290000	145300000	41	41	0	(inf, 7.819479222765935e-87)	inf	7.819479222765935e-87	8.261596804766647e-84
1:145300000:145310000	1	145300000	145310000	37	38	1	(4632.109247724005, 7.365517078010379e-77)	4632.109247724005	7.365517078010379e-77	6.1262296513528025e-74
1:145310000:145320000	1	145310000	145320000	13	34	21	(77.49989732356767, 3.8945240066210065e-19)	77.49989732356767	3.8945240066210065e-19	7.847666622001462e-17
1:145360000:145370000	1	145360000	145370000	25	26	1	(3129.8035457594633, 7.929457364706642e-52)	3129.8035457594633	7.929457364706642e-52	3.562969509208184e-49
1:146460000:146470000	1	146460000	146470000	7	12	5	(175.26899856252996, 1.5050035602302315e-12)	175.26899856252996	1.5050035602302315e-12	2.6264999632375093e-10
1:146710000:146720000	1	146710000	146720000	4	17	13	(38.520659024731856, 8.64958893948732e-06)	38.520659024731856	8.64958893948732e-06	0.001094270973535399
1:147950000:147960000	1	147950000	147960000	18	18	0	(inf, 1.5433863093733372e-38)	inf	1.5433863093733372e-38	5.070088874455672e-36
1:148000000:148010000	1	148000000	148010000	28	36	8	(438.17249640632485, 4.384894252655303e-52)	438.17249640632485	4.384894252655303e-52	2.016638660291778e-49
1:148010000:148020000	1	148010000	148020000	16	16	0	(inf, 2.4496010865157274e-34)	inf	2.4496010865157274e-34	7.366138898005601e-32
1:148020000:148030000	1	148020000	148030000	28	28	0	(inf, 1.5411444097121642e-59)	inf	1.5411444097121642e-59	8.859767244774694e-57
1:148200000:148210000	1	148200000	148210000	14	14	0	(inf, 3.889385422036176e-30)	inf	3.889385422036176e-30	1.0558601035988763e-27
1:148250000:148260000	1	148250000	148260000	29	34	5	(726.1144226161955, 3.27873007281727e-56)	726.1144226161955	3.27873007281727e-56	1.7089615467543028e-53
1:148340000:148350000	1	148340000	148350000	45	47	2	(2816.823191183517, 3.336216381617927e-92)	2816.823191183517	3.336216381617927e-92	3.8358638467708234e-89
1:148580000:148590000	1	148580000	148590000	9	23	14	(80.48066260524334, 9.148510503213394e-14)	80.48066260524334	9.148510503213394e-14	1.6790308572376434e-11
1:148590000:148600000	1	148590000	148600000	5	23	18	(34.775594952882926, 9.347400623888557e-07)	34.775594952882926	9.347400623888557e-07	0.00012600296041001774
1:148640000:148650000	1	148640000	148650000	17	17	0	(inf, 1.9443050110299974e-36)	inf	1.9443050110299974e-36	6.080541719294773e-34
1:148750000:148760000	1	148750000	148760000	25	25	0	(inf, 3.073266355367165e-53)	inf	3.073266355367165e-53	1.4832114612841137e-50
1:150200000:150210000	1	150200000	150210000	5	20	15	(41.73071394345951, 4.3931199281960804e-07)	41.73071394345951	4.3931199281960804e-07	6.111595880179401e-05
1:155180000:155190000	1	155180000	155190000	8	87	79	(12.677685248645927, 5.224308901216534e-07)	12.677685248645927	5.224308901216534e-07	7.216561256761723e-05
1:223710000:223720000	1	223710000	223720000	5	44	39	(16.050274593638274, 2.6267610254576253e-05)	16.050274593638274	2.6267610254576253e-05	0.0032290988052575314
1:240370000:240380000	1	240370000	240380000	10	133	123	(10.178222913038905, 1.3646298264469823e-07)	10.178222913038905	1.3646298264469823e-07	1.93985851547147e-05
2:89330000:89340000	2	89330000	89340000	13	15	2	(813.7489218974605, 5.07109142790748e-26)	813.7489218974605	5.07109142790748e-26	1.2014491278773286e-23
2:89380000:89390000	2	89380000	89390000	7	23	16	(54.77156205079061, 4.3154750625154957e-10)	54.77156205079061	4.3154750625154957e-10	6.971097154704783e-08
2:90130000:90140000	2	90130000	90140000	4	21	17	(29.45697454832436, 2.1206680595344246e-05)	29.45697454832436	2.1206680595344246e-05	0.0026234542969404977
2:90150000:90160000	2	90150000	90160000	10	27	17	(73.6424363708109, 7.322996034067871e-15)	73.6424363708109	7.322996034067871e-15	1.3829495698733392e-12
2:90190000:90200000	2	90190000	90200000	25	41	16	(195.61272160996646, 2.8021245536510818e-42)	195.61272160996646	2.8021245536510818e-42	1.0532755101089239e-39
3:195450000:195460000	3	195450000	195460000	10	114	104	(12.037705945228705, 3.1549959935706456e-08)	12.037705945228705	3.1549959935706456e-08	4.654154844553347e-06
3:195500000:195510000	3	195500000	195510000	41	63	22	(233.31262795661453, 3.473181659694411e-70)	233.31262795661453	3.473181659694411e-70	2.662227792956351e-67
3:195510000:195520000	3	195510000	195520000	161	309	148	(136.1887488830469, 2.041322794839985e-247)	136.1887488830469	2.041322794839985e-247	1.9949847673971173e-243
3:197890000:197900000	3	197890000	197900000	10	30	20	(62.596070915189266, 2.5520585883274098e-14)	62.596070915189266	2.5520585883274098e-14	4.796397804562264e-12
4:80000:90000	4	80000	90000	6	47	41	(18.32080124347003, 2.016020797544055e-06)	18.32080124347003	2.016020797544055e-06	0.00026357954855382005
4:3470000:3480000	4	3470000	3480000	13	43	30	(54.249928126497366, 1.436290897690445e-17)	54.249928126497366	1.436290897690445e-17	2.8357315036623674e-15
4:75310000:75320000	4	75310000	75320000	6	28	22	(34.14331140828506, 8.047324980800523e-08)	34.14331140828506	8.047324980800523e-08	1.1523297734412236e-05
4:75480000:75490000	4	75480000	75490000	12	12	0	(inf, 6.177767018175226e-26)	inf	6.177767018175226e-26	1.4040771411308485e-23
4:190900000:190910000	4	190900000	190910000	33	138	105	(39.346101718118966, 1.5968971817278227e-38)	39.346101718118966	1.5968971817278227e-38	5.2021587190086704e-36
4:190940000:190950000	4	190940000	190950000	7	13	6	(146.05749880210828, 3.2382262612534864e-12)	146.05749880210828	3.2382262612534864e-12	5.552137763373741e-10
5:140560000:140570000	5	140560000	140570000	13	199	186	(8.749988407499576, 1.0282740151976074e-08)	8.749988407499576	1.0282740151976074e-08	1.5580344109342973e-06
6:29910000:29920000	6	29910000	29920000	228	243	15	(1902.9205558217536, 0.0)	1902.9205558217536	0.0	0.0
6:30950000:30960000	6	30950000	30960000	46	117	71	(81.11040174925934, 1.2148109558464046e-64)	81.11040174925934	1.2148109558464046e-64	8.187825842404767e-62
6:31230000:31240000	6	31230000	31240000	219	230	11	(2492.461732804809, 0.0)	2492.461732804809	0.0	0.0
6:31320000:31330000	6	31320000	31330000	174	182	8	(2722.929084810733, 0.0)	2722.929084810733	0.0	0.0
6:32480000:32490000	6	32480000	32490000	19	19	0	(inf, 1.2252539421455256e-40)	inf	1.2252539421455256e-40	4.2765738487815073e-38
6:32490000:32500000	6	32490000	32500000	18	20	2	(1126.7292764734068, 2.8884912079831377e-36)	1126.7292764734068	2.8884912079831377e-36	8.961658595434668e-34
6:32540000:32550000	6	32540000	32550000	77	81	4	(2409.9487302347866, 3.5607060803951547e-156)	2409.9487302347866	3.5607060803951547e-156	1.2654102008618853e-152
6:32550000:32560000	6	32550000	32560000	58	61	3	(2420.3814087206515, 5.709186551805705e-118)	2420.3814087206515	5.709186551805705e-118	9.70363133405168e-115
6:32600000:32610000	6	32600000	32610000	27	31	4	(845.0469573550552, 5.918177503353449e-53)	845.0469573550552	5.918177503353449e-53	2.821382865379183e-50
6:32610000:32620000	6	32610000	32620000	22	22	0	(inf, 6.133773804959732e-47)	inf	6.133773804959732e-47	2.550866867909424e-44
6:32620000:32630000	6	32620000	32630000	41	45	4	(1283.21945376138, 1.129288581824229e-81)	1283.21945376138	1.129288581824229e-81	1.103653731016819e-78
6:32630000:32640000	6	32630000	32640000	12	12	0	(inf, 6.177767018175226e-26)	inf	6.177767018175226e-26	1.4040771411308485e-23
6:32700000:32710000	6	32700000	32710000	8	11	3	(333.8457115476761, 2.5205451377448214e-15)	333.8457115476761	2.5205451377448214e-15	4.830056398270615e-13
6:32710000:32720000	6	32710000	32720000	10	33	23	(54.431366013208056, 7.693587050122997e-14)	54.431366013208056	7.693587050122997e-14	1.4253919666512238e-11
6:32720000:32730000	6	32720000	32730000	9	53	44	(25.60748355621379, 4.0035456906635603e-10)	25.60748355621379	4.0035456906635603e-10	6.494050130266387e-08
6:33040000:33050000	6	33040000	33050000	7	72	65	(13.48223065865615, 1.8463672091291899e-06)	13.48223065865615	1.8463672091291899e-06	0.00024302419844874845
6:57390000:57400000	6	57390000	57400000	5	13	8	(78.24508864398658, 3.8196085931642464e-08)	78.24508864398658	3.8196085931642464e-08	5.59236476119763e-06
7:72280000:72290000	7	72280000	72290000	4	21	17	(29.45697454832436, 2.1206680595344246e-05)	29.45697454832436	2.1206680595344246e-05	0.0026234542969404977
7:72410000:72420000	7	72410000	72420000	33	188	155	(26.6538108413064, 9.542752925373578e-34)	26.6538108413064	9.542752925373578e-34	2.847674025638961e-31
7:72430000:72440000	7	72430000	72440000	24	38	14	(214.6151002806489, 3.361012439496376e-41)	214.6151002806489	3.361012439496376e-41	1.2279317596709563e-38
7:74150000:74160000	7	74150000	74160000	11	13	2	(688.556780067082, 5.98582015298129e-22)	688.556780067082	5.98582015298129e-22	1.2648523320018627e-19
7:74160000:74170000	7	74160000	74170000	13	17	4	(406.87446094873025, 1.1325727348387095e-24)	406.87446094873025	1.1325727348387095e-24	2.5299733343037047e-22
7:74170000:74180000	7	74170000	74180000	15	17	2	(938.941063727839, 4.135420867240189e-30)	938.941063727839	4.135420867240189e-30	1.1149094658079549e-27
7:74190000:74200000	7	74190000	74200000	8	49	41	(24.427734991293374, 5.267877861041066e-09)	24.427734991293374	5.267877861041066e-09	8.13960005311531e-07
7:74210000:74220000	7	74210000	74220000	7	34	27	(32.457221956024064, 8.773022987503883e-09)	32.457221956024064	8.773022987503883e-09	1.3344553098346373e-06
7:74300000:74310000	7	74300000	74310000	7	24	17	(51.54970545956763, 6.050235240452855e-10)	51.54970545956763	6.050235240452855e-10	9.693270328679632e-08
7:74520000:74530000	7	74520000	74530000	4	11	7	(71.5383667602163, 1.2458619589309249e-06)	71.5383667602163	1.2458619589309249e-06	0.0001656572642807065
7:74550000:74560000	7	74550000	74560000	6	15	9	(83.46142788691903, 1.1679792771975194e-09)	83.46142788691903	1.1679792771975194e-09	1.8410744316211865e-07
7:74990000:75000000	7	74990000	75000000	23	23	0	(inf, 4.871290660739509e-49)	inf	4.871290660739509e-49	2.1396460057261672e-46
7:75020000:75030000	7	75020000	75030000	9	22	13	(86.67148280564668, 5.6086590408415776e-14)	86.67148280564668	5.6086590408415776e-14	1.0440652344027569e-11
7:75030000:75040000	7	75030000	75040000	4	28	24	(20.865356971729756, 6.940553579892308e-05)	20.865356971729756	6.940553579892308e-05	0.008322703084207059
7:75050000:75060000	7	75050000	75060000	34	119	85	(50.07685673215141, 1.3475602440477246e-42)	50.07685673215141	1.3475602440477246e-42	5.114449034981907e-40
7:75130000:75140000	7	75130000	75140000	5	35	30	(20.865356971729756, 8.331409885885785e-06)	20.865356971729756	8.331409885885785e-06	0.0010574398547371659
8:2030000:2040000	8	2030000	2040000	12	72	60	(25.038428366075706, 6.109802472393467e-13)	25.038428366075706	6.109802472393467e-13	1.105761103012988e-10
8:12040000:12050000	8	12040000	12050000	19	65	46	(51.709797712547655, 1.0658794893716325e-24)	51.709797712547655	1.0658794893716325e-24	2.408517976792824e-22
8:144940000:144950000	8	144940000	144950000	12	275	263	(5.712188980853774, 2.770106108987655e-06)	5.712188980853774	2.770106108987655e-06	0.00035738939938133795
8:145620000:145630000	8	145620000	145630000	21	191	170	(15.464911637870289, 1.0585161160260814e-17)	15.464911637870289	1.0585161160260814e-17	2.1004828430300294e-15
9:10000:20000	9	10000	20000	8	64	56	(17.884591690054076, 4.6518187702789116e-08)	17.884591690054076	4.6518187702789116e-08	6.785406692826239e-06
9:39170000:39180000	9	39170000	39180000	33	41	8	(516.4175850503115, 4.38917207167717e-62)	516.4175850503115	4.38917207167717e-62	2.8128117151803923e-59
9:39350000:39360000	9	39350000	39360000	7	20	13	(67.41115329328075, 1.3933369465428738e-10)	67.41115329328075	1.3933369465428738e-10	2.2982416841457393e-08
9:39880000:39890000	9	39880000	39890000	22	22	0	(inf, 6.133773804959732e-47)	inf	6.133773804959732e-47	2.550866867909424e-44
9:40700000:40710000	9	40700000	40710000	10	65	55	(22.76220760552337, 1.1809859014704023e-10)	22.76220760552337	1.1809859014704023e-10	1.956233087300041e-08
9:40780000:40790000	9	40780000	40790000	7	27	20	(43.81724964063249, 1.5203351690686994e-09)	43.81724964063249	1.5203351690686994e-09	2.386865157800546e-07
9:43130000:43140000	9	43130000	43140000	25	25	0	(inf, 3.073266355367165e-53)	inf	3.073266355367165e-53	1.4832114612841137e-50
9:43620000:43630000	9	43620000	43630000	58	61	3	(2420.3814087206515, 5.709186551805705e-118)	2420.3814087206515	5.709186551805705e-118	9.70363133405168e-115
9:43680000:43690000	9	43680000	43690000	12	12	0	(inf, 6.177767018175226e-26)	inf	6.177767018175226e-26	1.4040771411308485e-23
9:43730000:43740000	9	43730000	43740000	15	15	0	(inf, 3.0865090983969e-32)	inf	3.0865090983969e-32	8.743319831487798e-30
9:43810000:43820000	9	43810000	43820000	42	42	0	(inf, 6.221228579241577e-89)	inf	6.221228579241577e-89	6.948579074848906e-86
9:43820000:43830000	9	43820000	43830000	19	19	0	(inf, 1.2252539421455256e-40)	inf	1.2252539421455256e-40	4.2765738487815073e-38
9:43840000:43850000	9	43840000	43850000	29	29	0	(inf, 1.2246351951889079e-61)	inf	1.2246351951889079e-61	7.598958579416633e-59
9:43850000:43860000	9	43850000	43860000	13	13	0	(inf, 4.901574813571316e-28)	inf	4.901574813571316e-28	1.1975772663258117e-25
9:43860000:43870000	9	43860000	43870000	19	23	4	(594.6626736942981, 1.0525984100935315e-36)	594.6626736942981	1.0525984100935315e-36	3.318401374788414e-34
9:43870000:43880000	9	43870000	43880000	18	18	0	(inf, 1.5433863093733372e-38)	inf	1.5433863093733372e-38	5.070088874455672e-36
9:43880000:43890000	9	43880000	43890000	13	13	0	(inf, 4.901574813571316e-28)	inf	4.901574813571316e-28	1.1975772663258117e-25
9:43890000:43900000	9	43890000	43900000	24	24	0	(inf, 3.86902490742921e-51)	inf	3.86902490742921e-51	1.718726382741167e-48
9:44860000:44870000	9	44860000	44870000	16	16	0	(inf, 2.4496010865157274e-34)	inf	2.4496010865157274e-34	7.366138898005601e-32
9:45720000:45730000	9	45720000	45730000	13	13	0	(inf, 4.901574813571316e-28)	inf	4.901574813571316e-28	1.1975772663258117e-25
9:45730000:45740000	9	45730000	45740000	12	12	0	(inf, 6.177767018175226e-26)	inf	6.177767018175226e-26	1.4040771411308485e-23
9:65500000:65510000	9	65500000	65510000	11	11	0	(inf, 7.786972699684579e-24)	inf	7.786972699684579e-24	1.681814015337401e-21
9:67930000:67940000	9	67930000	67940000	11	13	2	(688.556780067082, 5.98582015298129e-22)	688.556780067082	5.98582015298129e-22	1.2648523320018627e-19
9:67960000:67970000	9	67960000	67970000	20	26	6	(417.3071394345951, 2.139939740781506e-37)	417.3071394345951	2.139939740781506e-37	6.856928225133658e-35
9:69200000:69210000	9	69200000	69210000	44	44	0	(inf, 3.939092415034342e-93)	inf	3.939092415034342e-93	4.666272748137045e-90
9:69250000:69260000	9	69250000	69260000	15	15	0	(inf, 3.0865090983969e-32)	inf	3.0865090983969e-32	8.743319831487798e-30
9:70480000:70490000	9	70480000	70490000	25	25	0	(inf, 3.073266355367165e-53)	inf	3.073266355367165e-53	1.4832114612841137e-50
9:70490000:70500000	9	70490000	70500000	11	11	0	(inf, 7.786972699684579e-24)	inf	7.786972699684579e-24	1.681814015337401e-21
9:70870000:70880000	9	70870000	70880000	8	11	3	(333.8457115476761, 2.5205451377448214e-15)	333.8457115476761	2.5205451377448214e-15	4.830056398270615e-13
9:71000000:71010000	9	71000000	71010000	4	25	21	(23.846122253405436, 4.370198622988115e-05)	23.846122253405436	4.370198622988115e-05	0.005289158036218308
9:78790000:78800000	9	78790000	78800000	4	23	19	(26.35624038534285, 3.098108657735951e-05)	26.35624038534285	3.098108657735951e-05	0.003796591336934602
9:136130000:136140000	9	136130000	136140000	8	104	96	(10.432678485864878, 2.043925514247497e-06)	10.432678485864878	2.043925514247497e-06	0.00026633712067654385
9:136410000:136420000	9	136410000	136420000	4	27	23	(21.772546405283222, 5.986781060319458e-05)	21.772546405283222	5.986781060319458e-05	0.007201084468000254
9:140770000:140780000	9	140770000	140780000	6	24	18	(41.73071394345951, 2.954310045095285e-08)	41.73071394345951	2.954310045095285e-08	4.3746169804115485e-06
10:90000:100000	10	90000	100000	6	87	81	(9.273491987435447, 7.235329306039537e-05)	9.273491987435447	7.235329306039537e-05	0.008623277232673707
10:5200000:5210000	10	5200000	5210000	8	37	29	(34.535763263552695, 4.908091807802291e-10)	34.535763263552695	4.908091807802291e-10	7.895766458872723e-08
10:17860000:17870000	10	17860000	17870000	5	12	7	(89.42295845027039, 2.3661415872828365e-08)	89.42295845027039	2.3661415872828365e-08	3.530427745422162e-06
10:17890000:17900000	10	17890000	17900000	13	13	0	(inf, 4.901574813571316e-28)	inf	4.901574813571316e-28	1.1975772663258117e-25
10:17920000:17930000	10	17920000	17930000	13	13	0	(inf, 4.901574813571316e-28)	inf	4.901574813571316e-28	1.1975772663258117e-25
10:17930000:17940000	10	17930000	17940000	18	18	0	(inf, 1.5433863093733372e-38)	inf	1.5433863093733372e-38	5.070088874455672e-36
10:18180000:18190000	10	18180000	18190000	12	19	7	(214.6151002806489, 2.9567501998251973e-21)	214.6151002806489	2.9567501998251973e-21	6.14815312827482e-19
10:46250000:46260000	10	46250000	46260000	8	59	51	(19.63798303221624, 2.4140204428998516e-08)	19.63798303221624	2.4140204428998516e-08	3.5881706142144867e-06
10:46960000:46970000	10	46960000	46970000	69	82	13	(664.4813681766245, 5.409183956222678e-131)	664.4813681766245	5.409183956222678e-131	1.1129253642981943e-127
10:46990000:47000000	10	46990000	47000000	6	55	49	(15.329650020046351, 5.155758704051916e-06)	15.329650020046351	5.155758704051916e-06	0.000660816128717369
10:47080000:47090000	10	47080000	47090000	30	39	9	(417.3071394345951, 1.9239560679611048e-55)	417.3071394345951	1.9239560679611048e-55	9.89622244851783e-53
10:47750000:47760000	10	47750000	47760000	11	27	16	(86.06959750838524, 9.03395639680478e-17)	86.06959750838524	9.03395639680478e-17	1.7569921565367785e-14
10:47900000:47910000	10	47900000	47910000	14	14	0	(inf, 3.889385422036176e-30)	inf	3.889385422036176e-30	1.0558601035988763e-27
10:47910000:47920000	10	47910000	47920000	36	36	0	(inf, 2.456422912640793e-76)	inf	2.456422912640793e-76	2.000551760436539e-73
10:48000000:48010000	10	48000000	48010000	18	18	0	(inf, 1.5433863093733372e-38)	inf	1.5433863093733372e-38	5.070088874455672e-36
10:48020000:48030000	10	48020000	48030000	14	14	0	(inf, 3.889385422036176e-30)	inf	3.889385422036176e-30	1.0558601035988763e-27
10:48230000:48240000	10	48230000	48240000	13	17	4	(406.87446094873025, 1.1325727348387095e-24)	406.87446094873025	1.1325727348387095e-24	2.5299733343037047e-22
10:49200000:49210000	10	49200000	49210000	7	15	8	(109.54312410158121, 1.197552610182896e-11)	109.54312410158121	1.197552610182896e-11	2.01787614815818e-09
10:51220000:51230000	10	51220000	51230000	13	13	0	(inf, 4.901574813571316e-28)	inf	4.901574813571316e-28	1.1975772663258117e-25
10:51460000:51470000	10	51460000	51470000	13	62	49	(33.214241710100424, 2.835417822814381e-15)	33.214241710100424	2.835417822814381e-15	5.406934318510233e-13
10:51620000:51630000	10	51620000	51630000	17	27	10	(212.8266411116435, 1.5213794624003055e-29)	212.8266411116435	1.5213794624003055e-29	3.991527915714949e-27
10:51760000:51770000	10	51760000	51770000	8	50	42	(23.846122253405436, 6.227236687350229e-09)	23.846122253405436	6.227236687350229e-09	9.584060495350203e-07
10:51850000:51860000	10	51850000	51860000	19	45	26	(91.48656518373816, 2.4538912662940425e-28)	91.48656518373816	2.4538912662940425e-28	6.269772377906321e-26
10:51860000:51870000	10	51860000	51870000	6	15	9	(83.46142788691903, 1.1679792771975194e-09)	83.46142788691903	1.1679792771975194e-09	1.8410744316211865e-07
10:52500000:52510000	10	52500000	52510000	6	20	14	(53.653775070162226, 8.742361414530075e-09)	53.653775070162226	8.742361414530075e-09	1.3344553098346373e-06
10:135430000:135440000	10	135430000	135440000	5	17	12	(52.16339242932439, 1.788526001564314e-07)	52.16339242932439	1.788526001564314e-07	2.5332267555489914e-05
11:180000:190000	11	180000	190000	18	24	6	(375.5764254911356, 1.9853453821517094e-33)	375.5764254911356	1.9853453821517094e-33	5.879630430232926e-31
11:190000:200000	11	190000	200000	28	76	48	(73.02874940105414, 5.305217962024559e-39)	73.02874940105414	5.305217962024559e-39	1.8353237218713633e-36
11:1010000:1020000	11	1010000	1020000	47	148	101	(58.25772936661179, 9.450048910973678e-61)	58.25772936661179	9.450048910973678e-61	5.5972926064815606e-58
11:1090000:1100000	11	1090000	1100000	15	235	220	(8.535827852071264, 1.0709401574140145e-09)	8.535827852071264	1.0709401574140145e-09	1.701837098927994e-07
11:1640000:1650000	11	1640000	1650000	5	40	35	(17.884591690054076, 1.634002788737863e-05)	17.884591690054076	1.634002788737863e-05	0.002040780735378292
11:1650000:1660000	11	1650000	1660000	15	43	28	(67.06721883770278, 3.7948546759880936e-21)	67.06721883770278	3.7948546759880936e-21	7.849124814482887e-19
11:1970000:1980000	11	1970000	1980000	29	29	0	(inf, 1.2246351951889079e-61)	inf	1.2246351951889079e-61	7.598958579416633e-59
11:1990000:2000000	11	1990000	2000000	12	12	0	(inf, 6.177767018175226e-26)	inf	6.177767018175226e-26	1.4040771411308485e-23
